TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-10 00:00:35.767893+00:00,25,21
2024-05-10 00:00:35.786754+00:00,561,4
2024-05-10 00:00:36.018485+00:00,352,18
2024-05-10 00:00:36.019202+00:00,634,3
2024-05-10 00:00:36.151547+00:00,1096,12
2024-05-10 00:00:36.153469+00:00,1611,4
2024-05-10 00:00:36.154132+00:00,1611,1
2024-05-10 00:00:36.259585+00:00,1269,6
2024-05-10 00:00:36.266868+00:00,693,7
2024-05-10 00:00:36.392742+00:00,1504,127
2024-05-10 00:00:36.517211+00:00,1391,2
2024-05-10 00:00:36.517630+00:00,25,1
2024-05-10 00:00:36.526768+00:00,1537,28
2024-05-10 00:00:36.527440+00:00,352,25
2024-05-10 00:00:36.652000+00:00,1612,1
2024-05-10 00:00:36.789502+00:00,1338,18
2024-05-10 00:00:36.884878+00:00,695,1
2024-05-10 00:00:36.900591+00:00,1612,1
2024-05-10 00:00:37.017425+00:00,1393,2
2024-05-10 00:00:37.022269+00:00,1538,3
2024-05-10 00:00:37.024146+00:00,352,25
2024-05-10 00:00:37.138264+00:00,574,14
2024-05-10 00:00:37.256466+00:00,729,1
2024-05-10 00:00:37.268115+00:00,1538,1
2024-05-10 00:00:37.403444+00:00,1315,1
2024-05-10 00:00:37.404653+00:00,1613,20
2024-05-10 00:00:37.509889+00:00,1269,6
2024-05-10 00:00:37.513176+00:00,18,1
2024-05-10 00:00:37.522398+00:00,1538,3
2024-05-10 00:00:37.522927+00:00,1764,17
2024-05-10 00:00:37.523838+00:00,634,4
2024-05-10 00:00:37.635480+00:00,1504,42
2024-05-10 00:00:37.652470+00:00,247,4
2024-05-10 00:00:37.653509+00:00,1316,22
2024-05-10 00:00:37.766998+00:00,25,3
2024-05-10 00:00:37.767455+00:00,1189,14
2024-05-10 00:00:37.782491+00:00,357,12
2024-05-10 00:00:37.782570+00:00,636,4
2024-05-10 00:00:38.018498+00:00,25,14
2024-05-10 00:00:38.019770+00:00,1182,71
2024-05-10 00:00:38.028425+00:00,1539,2
2024-05-10 00:00:38.029514+00:00,639,2
2024-05-10 00:00:38.087115+00:00,1252,4
2024-05-10 00:00:38.151673+00:00,247,19
2024-05-10 00:00:38.152418+00:00,965,9
2024-05-10 00:00:38.337632+00:00,1507,13
2024-05-10 00:00:38.401668+00:00,1615,19
2024-05-10 00:00:38.517112+00:00,696,8
2024-05-10 00:00:38.522253+00:00,640,3
2024-05-10 00:00:38.586736+00:00,181,3
2024-05-10 00:00:38.650750+00:00,247,33
2024-05-10 00:00:38.768899+00:00,933,36
2024-05-10 00:00:38.775274+00:00,641,1
2024-05-10 00:00:38.900477+00:00,1615,3
2024-05-10 00:00:39.088325+00:00,275,6
2024-05-10 00:00:39.155304+00:00,966,46
2024-05-10 00:00:39.155393+00:00,1021,3
2024-05-10 00:00:39.157531+00:00,1615,12
2024-05-10 00:00:39.266843+00:00,694,1
2024-05-10 00:00:39.267733+00:00,1261,25
2024-05-10 00:00:39.401273+00:00,971,13
2024-05-10 00:00:39.402781+00:00,967,6
2024-05-10 00:00:39.404082+00:00,1616,27
2024-05-10 00:00:39.519468+00:00,1767,11
2024-05-10 00:00:39.546517+00:00,1554,17
2024-05-10 00:00:39.652122+00:00,967,6
2024-05-10 00:00:39.754243+00:00,1248,20
2024-05-10 00:00:39.901823+00:00,967,7
2024-05-10 00:00:40.019980+00:00,26,25
2024-05-10 00:00:40.026342+00:00,431,77
2024-05-10 00:00:40.026431+00:00,642,36
2024-05-10 00:00:40.042859+00:00,1554,13
2024-05-10 00:00:40.087753+00:00,1517,3
2024-05-10 00:00:40.090743+00:00,864,5
2024-05-10 00:00:40.139510+00:00,1638,11
